ed_geoid,State,County,parcels,pct_bldgs_matched,buildings,ed_str_uuid_pct,ed_bld_uuid_pct,ed_geoid_pct,ed_source_pct,ed_source_date_pct,ed_bldg_footprint_sqft_pct,ed_largest_pct,ed_lat_pct,ed_lon_pct,wkb_geometry_pct,ed_max_height_pct,ed_mean_height_pct,ed_max_object_height_pct,ed_lag_pct,ed_hag_pct,ed_mean_elevation_pct,ed_mean_slope_pct,ed_stories_pct,ed_gross_area_pct,ed_volume_pct
,,,"159,620,772",99%,"200,778,980",100%,100%,100%,100%,100%,100%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01001,AL,Autauga,"33,210",100%,"44,754",100%,100%,100%,100%,100%,100%,51%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%
01003,AL,Baldwin,"155,764",98%,"184,548",100%,100%,100%,100%,100%,100%,59%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,80%,100%,100%
01005,AL,Barbour,"25,165",99%,"27,994",100%,100%,100%,100%,100%,100%,28%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01007,AL,Bibb,"17,376",99%,"20,338",100%,100%,100%,100%,100%,100%,19%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01009,AL,Blount,"43,863",99%,"57,608",100%,100%,100%,100%,100%,100%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01011,AL,Bullock,"10,665",99%,"11,598",100%,100%,100%,100%,100%,100%,36%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01013,AL,Butler,"21,610",99%,"22,786",100%,100%,100%,100%,100%,100%,39%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01015,AL,Calhoun,"74,590",100%,"102,225",100%,100%,100%,100%,100%,100%,52%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%
01017,AL,Chambers,"26,541",100%,"31,956",100%,100%,100%,100%,100%,100%,44%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01019,AL,Cherokee,"34,941",96%,"38,997",100%,100%,100%,100%,100%,100%,45%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,84%,100%,100%
01021,AL,Chilton,"33,409",99%,"49,087",100%,100%,100%,100%,100%,100%,32%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%
01023,AL,Choctaw,"24,288",99%,"20,486",100%,100%,100%,100%,100%,100%,32%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
01025,AL,Clarke,"32,270",99%,"28,209",100%,100%,100%,100%,100%,100%,41%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01027,AL,Clay,"17,541",99%,"19,076",100%,100%,100%,100%,100%,100%,43%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01029,AL,Cleburne,"16,977",100%,"18,701",100%,100%,100%,100%,100%,100%,46%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
01031,AL,Coffee,"37,876",100%,"48,101",100%,100%,100%,100%,100%,100%,53%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,92%,100%,100%
01033,AL,Colbert,"43,134",98%,"54,312",100%,100%,100%,100%,100%,100%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
01035,AL,Conecuh,"18,906",99%,"18,231",100%,100%,100%,100%,100%,100%,33%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%
01037,AL,Coosa,"15,854",100%,"16,102",100%,100%,100%,100%,100%,100%,20%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01039,AL,Covington,"34,444",99%,"45,405",100%,100%,100%,100%,100%,100%,45%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01041,AL,Crenshaw,"17,984",100%,"18,431",100%,100%,100%,100%,100%,100%,31%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%
01043,AL,Cullman,"59,419",100%,"92,889",100%,100%,100%,100%,100%,100%,45%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%
01045,AL,Dale,"31,725",100%,"46,613",100%,100%,100%,100%,100%,100%,42%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,92%,100%,100%
01047,AL,Dallas,"31,787",99%,"35,729",100%,100%,100%,100%,100%,100%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01049,AL,DeKalb,"53,412",100%,"81,658",100%,100%,100%,100%,100%,100%,29%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,100%
01051,AL,Elmore,"54,493",100%,"72,845",100%,100%,100%,100%,100%,100%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%
01053,AL,Escambia,"33,329",99%,"39,019",100%,100%,100%,100%,100%,100%,44%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
01055,AL,Etowah,"76,837",99%,"91,576",100%,100%,100%,100%,100%,100%,52%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01057,AL,Fayette,"23,018",100%,"19,840",100%,100%,100%,100%,100%,100%,39%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01059,AL,Franklin,"23,345",99%,"31,627",100%,100%,100%,100%,100%,100%,18%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01061,AL,Geneva,"25,461",99%,"33,634",100%,100%,100%,100%,100%,100%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01063,AL,Greene,"10,972",99%,"11,070",100%,100%,100%,100%,100%,100%,30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01065,AL,Hale,"15,932",99%,"17,413",100%,100%,100%,100%,100%,100%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01067,AL,Henry,"21,647",98%,"23,928",100%,100%,100%,100%,100%,100%,39%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%
01069,AL,Houston,"62,849",100%,"83,925",100%,100%,100%,100%,100%,100%,57%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01071,AL,Jackson,"43,802",98%,"64,911",100%,100%,100%,100%,100%,100%,43%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,100%
01073,AL,Jefferson,"405,802",99%,"354,613",100%,100%,100%,100%,100%,100%,73%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01075,AL,Lamar,"20,965",99%,"17,270",100%,100%,100%,100%,100%,100%,36%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01077,AL,Lauderdale,"55,105",99%,"82,247",100%,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
01079,AL,Lawrence,"26,118",100%,"40,968",100%,100%,100%,100%,100%,100%,30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,100%
01081,AL,Lee,"71,257",100%,"100,937",100%,100%,100%,100%,100%,100%,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01083,AL,Limestone,"64,993",99%,"90,765",100%,100%,100%,100%,100%,100%,49%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,81%,100%,100%
01085,AL,Lowndes,"13,467",99%,"14,330",100%,100%,100%,100%,100%,100%,30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01087,AL,Macon,"20,055",100%,"18,808",100%,100%,100%,100%,100%,100%,24%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01089,AL,Madison,"186,188",100%,"233,139",100%,100%,100%,100%,100%,100%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,100%
01091,AL,Marengo,"24,079",99%,"22,851",100%,100%,100%,100%,100%,100%,39%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
01093,AL,Marion,"29,936",99%,"32,834",100%,100%,100%,100%,100%,100%,41%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01095,AL,Marshall,"63,937",100%,"90,132",100%,100%,100%,100%,100%,100%,49%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,100%
01097,AL,Mobile,"212,136",99%,"322,919",100%,100%,100%,100%,100%,100%,52%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,100%
01099,AL,Monroe,"26,859",100%,"25,658",100%,100%,100%,100%,100%,100%,42%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,100%
01101,AL,Montgomery,"104,493",100%,"137,008",100%,100%,100%,100%,100%,100%,70%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,100%
01103,AL,Morgan,"75,876",100%,"98,852",100%,100%,100%,100%,100%,100%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
01105,AL,Perry,"12,343",99%,"11,558",100%,100%,100%,100%,100%,100%,15%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01107,AL,Pickens,"24,509",99%,"22,458",100%,100%,100%,100%,100%,100%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01109,AL,Pike,"24,870",100%,"31,160",100%,100%,100%,100%,100%,100%,47%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%
01111,AL,Randolph,"29,077",99%,"30,416",100%,100%,100%,100%,100%,100%,30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%
01113,AL,Russell,"36,000",99%,"45,250",100%,100%,100%,100%,100%,100%,46%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
01115,AL,St. Clair,"60,713",100%,"77,163",100%,100%,100%,100%,100%,100%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%
01117,AL,Shelby,"104,028",99%,"123,928",100%,100%,100%,100%,100%,100%,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
01119,AL,Sumter,"16,030",99%,"14,992",100%,100%,100%,100%,100%,100%,37%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,100%
01121,AL,Talladega,"57,162",99%,"77,991",100%,100%,100%,100%,100%,100%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,92%,100%,100%
