geoid,state,county,city,path,last_refresh,parcels_total,parcels_in_zone,zones_total,distinct_municipalities,last_date_modified,ogc_fid_pct,zoning_id_pct,municipality_id_pct,municipality_name_pct,zoning_pct,zoning_description_pct,zoning_type_pct,zoning_subtype_pct,zoning_guide_pct,zoning_code_link_pct,permitted_land_uses_pct,land_use_flags_permitted_pct,land_use_flags_conditional_pct,min_lot_area_sq_ft_pct,min_lot_width_ft_pct,max_building_height_ft_pct,max_far_pct,max_coverage_pct_pct,min_front_setback_ft_pct,min_rear_setback_ft_pct,max_impervious_coverage_pct_pct,min_side_setback_ft_pct,min_landscaped_space_pct_pct,min_open_space_pct_pct,max_density_du_per_acre_pct,zoning_data_date_pct,path_pct,centroid_pct
,,,,,,"159,703,163","112,070,012","3,247,192","10,225",,89%,89%,89%,89%,89%,89%,89%,89%,52%,89%,85%,77%,62%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
01001,AL,Autauga,,/us/al/autauga,2025-02-04,"33,210","16,004",382,2,2023-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,99%,99%,91%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01003,AL,Baldwin,,/us/al/baldwin,2025-04-01,"155,764","99,641","7,441",7,2024-10-04,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,95%,45%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01005,AL,Barbour,,/us/al/barbour,2024-06-04,"25,165","8,058",90,1,2024-10-10,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,96%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01007,AL,Bibb,,/us/al/bibb,2024-07-02,"17,376",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01009,AL,Blount,,/us/al/blount,2024-11-05,"43,863",0,4,1,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01011,AL,Bullock,,/us/al/bullock,2024-07-02,"10,665",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01013,AL,Butler,,/us/al/butler,2024-07-02,"21,610","4,595",85,1,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,96%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01015,AL,Calhoun,,/us/al/calhoun,2025-04-01,"74,590","32,782",479,5,2024-10-11,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,94%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01017,AL,Chambers,,/us/al/chambers,2024-07-02,"26,541","5,364",162,1,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,60%,11%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01019,AL,Cherokee,,/us/al/cherokee,2025-04-15,"34,941","3,302",62,1,2024-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,71%,71%,18%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01021,AL,Chilton,,/us/al/chilton,2024-07-02,"33,409","6,743",895,3,2024-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,95%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01023,AL,Choctaw,,/us/al/choctaw,2025-03-04,"24,288",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01025,AL,Clarke,,/us/al/clarke,2023-12-05,"32,270",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01027,AL,Clay,,/us/al/clay,2025-03-04,"17,541","1,725",36,1,2024-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01029,AL,Cleburne,,/us/al/cleburne,2025-04-29,"16,977",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01031,AL,Coffee,,/us/al/coffee,2024-07-02,"37,876","14,740",249,1,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,92%,42%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01033,AL,Colbert,,/us/al/colbert,2025-05-13,"43,134","10,067","1,620",1,2024-09-13,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,97%,96%,28%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01035,AL,Conecuh,,/us/al/conecuh,2024-08-26,"18,906",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01037,AL,Coosa,,/us/al/coosa,2023-11-21,"15,854",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01039,AL,Covington,,/us/al/covington,2024-07-02,"34,444",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01041,AL,Crenshaw,,/us/al/crenshaw,2024-07-02,"17,984",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01043,AL,Cullman,,/us/al/cullman,2025-05-13,"59,419","10,584",497,3,2024-10-04,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,99%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01045,AL,Dale,,/us/al/dale,2024-07-02,"31,725","3,935",135,3,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,95%,87%,72%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01047,AL,Dallas,,/us/al/dallas,2024-07-02,"31,787",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01049,AL,DeKalb,,/us/al/dekalb,2025-04-01,"53,412",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01051,AL,Elmore,,/us/al/elmore,2025-04-01,"54,493","13,413",731,4,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,79%,79%,79%,71%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01053,AL,Escambia,,/us/al/escambia,2024-07-02,"33,329","8,469",94,3,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,1%,100%,98%,88%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01055,AL,Etowah,,/us/al/etowah,2025-04-01,"76,837","42,630","3,190",5,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,31%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01057,AL,Fayette,,/us/al/fayette,2024-03-26,"23,018","3,562",78,2,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,95%,40%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01059,AL,Franklin,,/us/al/franklin,2025-04-15,"23,345","4,904",38,1,2024-09-27,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,79%,55%,32%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01061,AL,Geneva,,/us/al/geneva,2024-07-02,"25,461","5,851",82,2,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,89%,76%,52%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01063,AL,Greene,,/us/al/greene,2024-05-21,"10,972",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01065,AL,Hale,,/us/al/hale,2023-03-28,"15,932","2,560",53,2,2024-09-30,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,92%,92%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01067,AL,Henry,,/us/al/henry,2024-07-02,"21,647","2,292",51,2,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,96%,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01069,AL,Houston,,/us/al/houston,2025-06-24,"62,849","35,483","2,761",2,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
