"","STREET_NAME","totPotHole"
"1","MADISON RD",5527
"2","MONTANA AV",3948
"3","RIVER RD",2465
"4","READING RD",2060
"5","QUEEN CITY AV",2043
"6","RIDGE AV",1390
"7","VINE ST",1352
"8","BEECHMONT AV",1260
"9","GILBERT AV",1145
"10","WOOSTER RD",1110
"11","SEYMOUR AV",1060
"12","KIRBY AV",954
"13","VICTORY PKWY",873
"14","WEST FORK RD",852
"15","ERIE AV",829
"16","GALBRAITH RD",811
"17","KELLOGG AV",800
"18","SUNSET AV",767
"19","HAMILTON AV",762
"20","MARTIN LUTHER KING JR DR",641
"21","PADDOCK RD",632
"22","NORTH BEND RD",631
"23","HARRISON AV",595
"24","PLAINVILLE RD",570
"25","SPRING GROVE AV",523
"26","6TH ST",507
"27","GLENWAY AV",503
"28","8TH ST",452
"29","I-75 SB EXWY",451
"30","MITCHELL AV",433
"31","MADISON PARK AV",426
"32","CENTRAL PKWY",422
"33","I-71 SB EXWY",418
"34","WERK RD",404
"35","DANA AV",396
"36","GEST ST",382
"37","CLIFTON AV",373
"38","DALTON AV",365
"39","DUCK CREEK RD",355
"40","COLERAIN AV",351
"41","FERGUSON RD",345
"42","MONTGOMERY RD",325
"43","EDWARDS RD",322
"44","7TH ST",304
"45","WARSAW AV",299
"46","STATE AV",296
"47","BEEKMAN ST",288
"48","RAPID RUN RD",277
"49","BELMONT AV",272
"50","GLENMORE AV",271
"51","BROTHERTON RD",269
"52","JEFFERSON AV",253
"53","MCMICKEN AV",249
"54","WASSON RD",248
"55","LINN ST",231
"56","OVERLOOK AV",230
"57","CRAWFORD AV",213
"58","COLUMBIA PKWY",211
"59","ROBERTSON AV",208
"60","KENNEDY AV",207
"61","MARBURG AV",206
"62","CORBLY ST",194
"63","GRANDIN RD",193
"64","LAFEUILLE AV",190
"65","GLENHILLS WY",185
"66","PAXTON AV",185
"67","DANE AV",171
"68","LUDLOW AV",166
"69","MCHENRY AV",163
"70","OBSERVATORY AV",158
"71","MEHRING WY",157
"72","SHEPHERD RD",156
"73","STEGER DR",156
"74","WOODFORD RD",156
"75","GAFF AV",152
"76","ANDERSON FERRY RD",147
"77","BOUDINOT AV",147
"78","MCMILLAN ST",141
"79","LINWOOD AV",140
"80","EVANSTON AV",137
"81","LOSANTIVILLE AV",131
"82","KINGS RUN DR",130
"83","COURT ST",129
"84","DORCHESTER AV",127
"85","FAIRBANKS AV",126
"86","REEDY ST",125
"87","I-75 NB EXWY",123
"88","WILMER CT",122
"89","ELBERON AV",121
"90","GLENCROSSING WY",120
"91","PEDRETTI AV",120
"92","EDISON DR",119
"93","CENTER HILL AV",118
"94","FREEMAN AV",118
"95","KIPLING AV",117
"96","3RD ST",115
"97","DAYTON ST",109
"98","BANK ST",107
"99","GLENVIEW AV",107
"100","WILLIAM H TAFT RD",106
"101","BEECHMONT CT",104
"102","CENTRAL AV",101
"103","GILSEY AV",100
"104","HIGHLAND AV",100
"105","SPINDLEHILL DR",100
"106","4TH ST",99
"107","CHANDLER ST",99
