"id","NEIGHBORHOOD","STREET_NAME","TotNumPot"
"1","OAKLEY","MADISON RD",4041
"2","WESTWOOD","MONTANA AV",3786
"3","SAYLER PARK","RIVER RD",2070
"4","WESTWOOD","QUEEN CITY AV",1929
"5","LINWOOD","WOOSTER RD",1104
"6","MT WASHINGTON","BEECHMONT AV",1085
"7","OAKLEY","RIDGE AV",873
"8","WALNUT HILLS","GILBERT AV",868
"9","MADISONVILLE","MADISON RD",822
"10","HARTWELL","GALBRAITH RD",798
"11","MT AIRY","WEST FORK RD",790
"12","ROSELAWN","SEYMOUR AV",754
"13","WEST PRICE HILL","SUNSET AV",736
"14","COLLEGE HILL","HAMILTON AV",727
"15","MT AIRY","KIRBY AV",694
"16","CALIFORNIA","KELLOGG AV",608
"17","CLIFTON","VINE ST",588
"18","MADISONVILLE","PLAINVILLE RD",570
"19","PLEASANT RIDGE","RIDGE AV",515
"20","HYDE PARK","ERIE AV",439
"21","OAKLEY","MADISON PARK AV",426
"22","WEST PRICE HILL","GLENWAY AV",414
"23","COLLEGE HILL","NORTH BEND RD",404
"24","WESTWOOD","WERK RD",404
"25","SOUTH FAIRMOUNT","HARRISON AV",398
"26","QUEENSGATE","6TH ST",396
"27","AVONDALE","VINE ST",386
"28","OAKLEY","ERIE AV",379
"29","HYDE PARK","MADISON RD",371
"30","QUEENSGATE","GEST ST",367
"31","","READING RD",360
"32","RIVERSIDE","RIVER RD",344
"33","PADDOCK HILLS","PADDOCK RD",332
"34","NORTH AVONDALE","READING RD",330
"35","SPRING GROVE VILLAGE","MITCHELL AV",329
"36","ROSELAWN","READING RD",327
"37","QUEENSGATE","DALTON AV",323
"38","CAMP WASHINGTON","SPRING GROVE AV",313
"39","CUF","CENTRAL PKWY",307
"40","AVONDALE","READING RD",303
"41","EVANSTON","DANA AV",301
"42","WESTWOOD","FERGUSON RD",293
"43","WEST PRICE HILL","RAPID RUN RD",276
"44","EAST PRICE HILL","WARSAW AV",275
"45","COLLEGE HILL","BELMONT AV",272
"46","EVANSTON","DUCK CREEK RD",271
"47","WESTWOOD","GLENMORE AV",271
"48","OAKLEY","BROTHERTON RD",269
"49","EVANSTON","MONTGOMERY RD",260
"50","DOWNTOWN","GILBERT AV",252
"51","MT. AUBURN","READING RD",250
"52","HEIGHTS","MARTIN LUTHER KING JR DR",234
"53","MT AIRY","COLERAIN AV",232
"54","WEST PRICE HILL","OVERLOOK AV",230
"55","WALNUT HILLS","I-71 SB EXWY",228
"56","PADDOCK HILLS","VICTORY PKWY",216
"57","BOND HILL","READING RD",215
"58","AVONDALE","MARTIN LUTHER KING JR DR",208
"59","OAKLEY","ROBERTSON AV",208
"60","OAKLEY","MARBURG AV",206
"61","NORTHSIDE","KIRBY AV",201
"62","EVANSTON","VICTORY PKWY",197
"63","MT AIRY","NORTH BEND RD",193
"64","SOUTH FAIRMOUNT","BEEKMAN ST",193
