"id","STREET_NAME","yearCreated","totPotHole"
"1","MADISON RD","2025",5117
"2","MONTANA AV","2025",3642
"3","QUEEN CITY AV","2025",1835
"4","READING RD","2025",1574
"5","RIVER RD","2025",1352
"6","BEECHMONT AV","2025",1051
"7","VINE ST","2025",1016
"8","GILBERT AV","2025",941
"9","RIVER RD","2023",893
"10","RIDGE AV","2025",828
"11","SEYMOUR AV","2025",828
"12","WOOSTER RD","2025",764
"13","WEST FORK RD","2025",760
"14","GALBRAITH RD","2025",748
"15","KIRBY AV","2025",669
"16","SUNSET AV","2025",655
"17","VICTORY PKWY","2025",642
"18","HAMILTON AV","2025",541
"19","KELLOGG AV","2025",498
"20","PLAINVILLE RD","2025",467
"21","HARRISON AV","2025",409
"22","MADISON PARK AV","2025",409
"23","MARTIN LUTHER KING JR DR","2025",402
"24","ERIE AV","2025",358
"25","MITCHELL AV","2025",353
"26","CENTRAL PKWY","2025",350
"27","I-75 SB EXWY","2025",316
"28","READING RD","2024",315
"29","PADDOCK RD","2025",303
"30","6TH ST","2025",301
"31","GLENWAY AV","2025",287
"32","RIDGE AV","2024",287
"33","DUCK CREEK RD","2025",286
"34","NORTH BEND RD","2025",280
"35","WERK RD","2025",280
"36","WOOSTER RD","2023",276
"37","RIDGE AV","2023",275
"38","I-71 SB EXWY","2025",264
"39","DALTON AV","2025",262
"40","ERIE AV","2023",258
"41","8TH ST","2025",250
"42","CLIFTON AV","2025",246
"43","MADISON RD","2024",246
"44","BROTHERTON RD","2025",237
"45","COLERAIN AV","2025",232
"46","RIVER RD","2024",220
"47","MONTGOMERY RD","2025",218
"48","ERIE AV","2024",213
"49","SPRING GROVE AV","2025",208
"50","KELLOGG AV","2024",206
"51","WARSAW AV","2025",206
"52","7TH ST","2025",205
"53","STATE AV","2025",204
"54","DANA AV","2025",199
"55","WASSON RD","2025",198
"56","NORTH BEND RD","2023",193
"57","GLENMORE AV","2025",192
"58","ROBERTSON AV","2025",192
"59","SPRING GROVE AV","2023",185
"60","GLENWAY AV","2023",182
"61","PADDOCK RD","2023",181
"62","FERGUSON RD","2025",175
"63","GEST ST","2023",174
"64","MONTANA AV","2023",174
"65","BEEKMAN ST","2025",173
"66","VINE ST","2024",173
"67","READING RD","2023",171
"68","EDWARDS RD","2023",164
"69","MADISON RD","2023",164
"70","VINE ST","2023",163
"71","SEYMOUR AV","2023",159
"72","NORTH BEND RD","2024",158
"73","MARTIN LUTHER KING JR DR","2024",153
"74","KIRBY AV","2023",152
"75","CRAWFORD AV","2025",149
"76","PADDOCK RD","2024",148
"77","STEGER DR","2025",147
"78","HAMILTON AV","2024",143
"79","LINN ST","2025",143
"80","CORBLY ST","2025",139
"81","LAFEUILLE AV","2025",139
"82","8TH ST","2024",138
"83","DANA AV","2024",137
"84","JEFFERSON AV","2025",134
"85","6TH ST","2024",133
"86","KIRBY AV","2024",133
"87","MONTANA AV","2024",132
"88","GLENHILLS WY","2025",131
"89","SPRING GROVE AV","2024",130
"90","MCMICKEN AV","2025",125
"91","GEST ST","2025",123
"92","VICTORY PKWY","2023",123
"93","COLUMBIA PKWY","2025",121
"94","QUEEN CITY AV","2023",121
"95","BEECHMONT AV","2023",114
"96","BOUDINOT AV","2025",112
"97","WILMER CT","2025",110
"98","GILBERT AV","2023",109
"99","I-71 SB EXWY","2023",109
"100","RAPID RUN RD","2025",109
"101","VICTORY PKWY","2024",108
"102","OVERLOOK AV","2023",105
"103","BELMONT AV","2025",103
"104","MEHRING WY","2025",103
"105","KENNEDY AV","2025",101
"106","MCHENRY AV","2025",101
"107","ANDERSON FERRY RD","2023",100
"108","FERGUSON RD","2023",99
"109","GLENVIEW AV","2025",98
"110","HARRISON AV","2023",98
"111","WOODFORD RD","2025",98
"112","FAIRBANKS AV","2023",96
"113","KELLOGG AV","2023",96
"114","BEECHMONT AV","2024",95
"115","BEEKMAN ST","2024",95
"116","GILBERT AV","2024",95
"117","EDWARDS RD","2024",92
"118","REEDY ST","2025",92
"119","SHEPHERD RD","2025",91
"120","RAPID RUN RD","2023",90
"121","BELMONT AV","2023",88
"122","GAFF AV","2025",88
"123","HARRISON AV","2024",88
"124","QUEEN CITY AV","2024",87
"125","CLIFTON AV","2024",86
"126","MARTIN LUTHER KING JR DR","2023",86
"127","GEST ST","2024",85
"128","ELBERON AV","2025",84
"129","GRANDIN RD","2023",84
"130","COLERAIN AV","2023",82
"131","LUDLOW AV","2025",82
"132","BELMONT AV","2024",81
"133","JEFFERSON AV","2024",81
"134","BANK ST","2023",80
"135","FERNBANK AV","2023",80
"136","COURT ST","2025",79
"137","FREEMAN AV","2023",79
"138","I-75 NB EXWY","2025",79
"139","EVANSTON AV","2025",78
"140","HAMILTON AV","2023",78
"141","MARBURG AV","2024",78
"142","RAPID RUN RD","2024",78
"143","MARBURG AV","2025",77
"144","MCMICKEN AV","2024",77
"145","OVERLOOK AV","2025",77
"146","DALTON AV","2024",76
"147","I-75 SB EXWY","2024",75
"148","PAXTON AV","2025",75
"149","GRANDIN RD","2025",74
"150","KENNEDY AV","2024",74
"151","KINGS RUN DR","2025",74
"152","6TH ST","2023",73
"153","CENTRAL AV","2025",73
"154","SEYMOUR AV","2024",73
"155","EDISON DR","2024",72
"156","RINGGOLD ST","2023",72
"157","FERGUSON RD","2024",71
"158","RAPID RUN PIKE","2024",71
"159","WILLIAM H TAFT RD","2025",71
"160","WOOSTER RD","2024",70
"161","LINWOOD AV","2025",69
"162","MCMILLAN ST","2025",69
"163","OBSERVATORY AV","2023",69
"164","SYCAMORE ST","2025",69
"165","SPINDLEHILL DR","2025",68
"166","DANE AV","2024",67
"167","MITCHELL AV","2024",67
"168","PEDRETTI AV","2025",67
"169","COLUMBIA PKWY","2024",66
"170","EDWARDS RD","2025",66
"171","PAXTON AV","2023",66
"172","CHANDLER ST","2025",65
"173","WALNUT ST","2025",65
"174","WERK RD","2023",65
