state,county,geoid,parcel_count,enhanced_ownership_count,eo_records_matched,eo_coverage_%,max_eo_lastrefresh,ll_uuid,attom_id,eo_geoid,eo_lastrefresh,eo_owner,eo_ownerfirst,eo_ownermiddle,eo_ownerlast,eo_ownersuffix,eo_owner2,eo_owner2first,eo_owner2middle,eo_owner2last,eo_owner2suffix,eo_owner3,eo_owner3first,eo_owner3middle,eo_owner3suffix,eo_owner3last,eo_owner4,eo_owner4first,eo_owner4middle,eo_owner4last,eo_owner4suffix,eo_mail_county,eo_mail_geoid,eo_mail_address,eo_mail_addno,eo_mail_addpref,eo_mail_addstr,eo_mail_addstsuf,eo_mail_adddir,eo_mail_unitpref,eo_mail_unit,eo_mail_city,eo_mail_state2,eo_mail_zip,eo_mail_zip4,eo_mail_carte,eo_mail_addressinfoformat,eo_deedowner,eo_deedownerfirst,eo_deedownermiddle,eo_deedownerlast,eo_deedownersuffix,eo_deedowner2,eo_deedowner2first,eo_deedowner2middle,eo_deedowner2last,eo_deedowner2suffix,eo_deedowner3,eo_deedowner3first,eo_deedowner3middle,eo_deedowner3last,eo_deedowner3suffix,eo_deedowner4,eo_deedowner4first,eo_deedowner4middle,eo_deedowner4last,eo_deedowner4suffix
,,,"159,703,163","149,090,279","149,090,279",93%,,95%,95%,95%,95%,95%,73%,46%,95%,3%,21%,21%,13%,21%,1%,21%,18%,11%,21%,1%,2%,1%,1%,2%,0%,93%,93%,94%,87%,18%,94%,81%,6%,7%,7%,94%,94%,94%,92%,92%,78%,95%,75%,47%,95%,3%,39%,38%,22%,39%,1%,3%,1%,1%,3%,0%,1%,1%,1%,1%,0%
AL,Autauga,01001,"33,210","31,584","31,584",95%,2025-10-28,95%,95%,95%,95%,95%,81%,55%,95%,1%,36%,34%,24%,35%,0%,14%,12%,8%,14%,0%,1%,1%,1%,1%,0%,95%,95%,95%,90%,5%,95%,69%,9%,4%,4%,95%,95%,95%,94%,94%,92%,95%,83%,61%,95%,6%,44%,44%,31%,44%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AL,Baldwin,01003,"155,764","150,591","150,591",97%,2025-11-11,97%,97%,97%,97%,97%,75%,56%,96%,6%,28%,26%,17%,28%,1%,20%,17%,12%,20%,0%,2%,1%,1%,2%,0%,96%,96%,95%,83%,7%,95%,75%,4%,5%,5%,96%,96%,96%,94%,94%,80%,96%,76%,57%,96%,6%,44%,41%,27%,44%,1%,2%,1%,1%,2%,0%,0%,0%,0%,0%,0%
AL,Barbour,01005,"25,165","22,094","22,094",88%,2025-10-03,88%,88%,88%,88%,88%,69%,46%,88%,6%,24%,24%,14%,24%,0%,7%,6%,3%,7%,0%,0%,0%,0%,0%,0%,88%,88%,86%,74%,9%,86%,60%,3%,3%,3%,88%,88%,88%,84%,84%,84%,88%,72%,47%,88%,6%,30%,30%,18%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AL,Bibb,01007,"17,376","15,038","15,038",87%,2025-11-05,87%,87%,87%,87%,87%,69%,44%,86%,2%,26%,25%,15%,26%,0%,15%,14%,7%,15%,0%,1%,1%,0%,1%,0%,86%,86%,85%,72%,3%,85%,66%,2%,3%,3%,86%,86%,86%,83%,83%,79%,87%,71%,47%,87%,4%,36%,35%,20%,36%,0%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%
AL,Blount,01009,"43,863","42,421","42,421",97%,2025-11-07,97%,97%,97%,97%,97%,85%,54%,97%,2%,38%,37%,22%,38%,0%,16%,16%,8%,16%,0%,0%,0%,0%,0%,0%,96%,96%,96%,87%,1%,96%,73%,4%,2%,2%,96%,96%,96%,95%,95%,92%,97%,88%,62%,97%,4%,50%,49%,28%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AL,Bullock,01011,"10,665","9,535","9,535",89%,2025-10-03,89%,89%,89%,89%,89%,70%,44%,89%,6%,25%,25%,13%,25%,0%,3%,3%,1%,3%,0%,1%,1%,1%,1%,0%,89%,89%,88%,77%,4%,88%,54%,8%,4%,4%,89%,89%,89%,85%,85%,85%,89%,72%,46%,89%,7%,26%,26%,13%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AL,Butler,01013,"21,610","19,660","19,660",91%,2025-10-28,91%,91%,91%,91%,91%,72%,50%,91%,2%,25%,24%,17%,25%,0%,6%,6%,4%,6%,0%,0%,0%,0%,0%,0%,91%,91%,87%,76%,11%,87%,73%,2%,2%,2%,91%,91%,91%,86%,86%,86%,91%,76%,54%,91%,5%,31%,31%,20%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AL,Calhoun,01015,"74,590","73,675","73,675",99%,2025-11-05,99%,99%,99%,99%,99%,82%,54%,98%,2%,29%,28%,18%,28%,0%,11%,10%,6%,11%,0%,0%,0%,0%,0%,0%,99%,99%,99%,87%,6%,99%,83%,9%,2%,2%,99%,99%,99%,97%,97%,90%,99%,84%,57%,99%,4%,39%,38%,23%,39%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AL,Chambers,01017,"26,541","24,590","24,590",93%,2025-11-04,93%,93%,93%,93%,93%,75%,51%,92%,2%,23%,23%,15%,23%,0%,8%,8%,5%,8%,0%,1%,1%,0%,1%,0%,92%,92%,92%,78%,10%,92%,54%,12%,2%,2%,92%,92%,92%,91%,91%,83%,93%,77%,53%,93%,6%,32%,31%,20%,32%,0%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%
