state,county,geoid,address_count,total_rows,ll_uuid,a_id,a_address,a_saddno,a_saddpref,a_saddstr,a_saddsttyp,a_saddstsuf,a_sunit,a_szip5,a_szip,a_carte,a_crtype,a_scity,a_state2,a_county,a_delvseqno,a_usps_elotseq,a_usps_elotsort,a_resbus,a_pmbdesc,a_pmbno,a_dpv_confirm,a_dpv_footnotes,a_default_match,a_lacsflag,a_usps_vacancy,a_nostats,a_error_code,a_extrainfo,a_dpv_type,a_geocodetype,a_moddate,a_census_blockgroup,a_lat,a_lon,a_geoid
AL,Autauga,01001,"31,068","31,842",73%,100%,100%,100%,5%,100%,70%,10%,7%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,94%,100%,100%,100%
AL,Baldwin,01003,"173,095","179,390",77%,100%,100%,100%,8%,100%,73%,4%,17%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Barbour,01005,"17,243","17,534",34%,100%,100%,100%,10%,100%,66%,3%,8%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,91%,100%,100%,100%
AL,Bibb,01007,"13,519","13,608",32%,100%,100%,100%,4%,100%,70%,2%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,100%,100%,100%,100%
AL,Blount,01009,"33,044","34,413",57%,100%,100%,100%,0%,100%,71%,4%,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Bullock,01011,"6,894","7,101",44%,100%,100%,100%,0%,100%,56%,12%,3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
AL,Butler,01013,"13,941","14,572",56%,100%,100%,100%,13%,100%,84%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Calhoun,01015,"79,767","82,288",71%,100%,100%,100%,7%,100%,81%,10%,12%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Chambers,01017,"22,989","23,512",59%,100%,100%,100%,14%,100%,58%,14%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Cherokee,01019,"19,149","20,013",78%,100%,100%,100%,3%,100%,22%,5%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
