state,county,census_city,geoid,last_refresh,parcel_count,ogc_fid_pct,geoid_pct,parcelnumb_pct,parcelnumb_no_formatting_pct,state_parcelnumb_pct,account_number_pct,tax_id_pct,alt_parcelnumb1_pct,alt_parcelnumb2_pct,alt_parcelnumb3_pct,usecode_pct,usedesc_pct,zoning_pct,zoning_description_pct,zoning_type_pct,zoning_subtype_pct,zoning_code_link_pct,zoning_id_pct,struct_pct,structno_pct,yearbuilt_pct,numstories_pct,numunits_pct,numrooms_pct,structstyle_pct,parvaltype_pct,improvval_pct,landval_pct,parval_pct,agval_pct,homestead_exemption_pct,saleprice_pct,saledate_pct,taxamt_pct,taxyear_pct,owntype_pct,owner_pct,unmodified_owner_pct,ownfrst_pct,ownlast_pct,owner2_pct,owner3_pct,owner4_pct,previous_owner_pct,mailadd_pct,mail_address2_pct,careof_pct,mail_addno_pct,mail_addpref_pct,mail_addstr_pct,mail_addsttyp_pct,mail_addstsuf_pct,mail_unit_pct,mail_city_pct,mail_state2_pct,mail_zip_pct,mail_country_pct,mail_urbanization_pct,original_mailing_address_pct,address_pct,address2_pct,saddno_pct,saddpref_pct,saddstr_pct,saddsttyp_pct,saddstsuf_pct,sunit_pct,scity_pct,original_address_pct,city_pct,county_pct,state2_pct,szip_pct,szip5_pct,urbanization_pct,ll_address_count_pct,location_name_pct,address_source_pct,legaldesc_pct,plat_pct,book_pct,page_pct,block_pct,lot_pct,neighborhood_pct,neighborhood_code_pct,subdivision_pct,lat_pct,lon_pct,fema_flood_zone_pct,fema_flood_zone_subtype_pct,fema_flood_zone_raw_pct,fema_flood_zone_data_date_pct,qoz_pct,qoz_tract_pct,census_tract_pct,census_block_pct,census_blockgroup_pct,census_zcta_pct,census_elementary_school_district_pct,census_secondary_school_district_pct,census_unified_school_district_pct,ll_last_refresh_pct,sourceurl_pct,recrdareatx_pct,recrdareano_pct,deeded_acres_pct,gisacre_pct,sqft_pct,ll_gisacre_pct,ll_gissqft_pct,ll_bldg_footprint_sqft_pct,ll_bldg_count_pct,cdl_raw_pct,cdl_majority_category_pct,cdl_majority_percent_pct,cdl_date_pct,plss_township_pct,plss_section_pct,plss_range_pct,reviseddate_pct,path_pct,ll_stable_id_pct,ll_uuid_pct,ll_stack_uuid_pct,ll_row_parcel_pct,ll_updated_at_pct,precisely_id_pct,placekey_pct,dpv_status_pct,dpv_codes_pct,dpv_notes_pct,dpv_type_pct,cass_errorno_pct,rdi_pct,usps_vacancy_pct,usps_vacancy_date_pct,padus_public_access_pct,lbcs_activity_pct,lbcs_activity_desc_pct,lbcs_function_pct,lbcs_function_desc_pct,lbcs_structure_pct,lbcs_structure_desc_pct,lbcs_site_pct,lbcs_site_desc_pct,lbcs_ownership_pct,lbcs_ownership_desc_pct,housing_affordability_index_pct,population_density_pct,population_growth_past_5_years_pct,population_growth_next_5_years_pct,housing_growth_past_5_years_pct,housing_growth_next_5_years_pct,household_income_growth_next_5_years_pct,median_household_income_pct,fema_nri_risk_rating_pct,transmission_line_distance_pct,roughness_rating_pct,highest_parcel_elevation_pct,lowest_parcel_elevation_pct
,Nationwide dataset % Coverage ===>>,,,,"159,703,163",100,100,99,99,11,16,3,57,28,7,71,43,73,72,71,71,71,71,6,12,65,56,23,29,13,88,75,79,86,10,20,72,77,15,44,6,98,16,2,3,11,1,0,9,95,1,5,63,11,63,54,3,2,94,94,94,6,0,95,89,0,75,17,77,72,5,3,92,93,100,100,100,100,100,1,100,0,100,63,4,37,36,17,25,7,30,20,100,100,60,55,60,60,100,10,100,100,100,100,6,6,94,100,13,0,36,4,69,23,100,100,78,100,11,11,11,11,54,100,54,15,100,97,100,5,0,100,77,84,87,74,87,74,87,70,70,87,0,82,82,79,79,72,72,78,78,80,80,98,99,99,99,99,99,99,99,100,96,95,95,95
AL,Autauga,,01001,2025-02-04,"33,210",100,100,96,96,0,96,0,99,96,0,0,0,48,48,48,48,48,48,0,0,69,62,0,41,0,96,96,96,96,0,0,49,49,96,96,0,96,0,0,0,14,0,0,0,96,0,11,63,4,63,56,3,2,96,96,96,0,0,96,88,0,65,3,65,51,6,0,93,89,100,100,100,100,100,0,100,0,100,96,0,6,6,36,28,0,96,96,100,100,100,96,100,100,100,5,100,100,100,100,0,0,100,100,0,0,96,0,100,96,100,100,74,100,15,15,15,15,100,100,100,0,100,92,100,0,1,100,69,84,87,67,87,67,87,66,66,87,0,94,94,94,94,61,61,61,61,76,76,100,100,100,100,100,100,100,100,100,92,92,92,92
AL,Baldwin,,01003,2025-04-01,"155,764",100,100,100,100,0,100,0,100,100,0,0,0,64,64,64,64,64,64,0,0,68,66,0,27,0,100,98,98,98,0,0,69,96,98,100,0,100,0,0,0,0,0,0,33,99,0,0,78,5,78,66,2,2,99,99,99,0,0,100,96,0,79,5,79,69,3,0,95,100,100,100,100,100,100,0,100,0,100,100,0,12,99,26,67,100,0,70,100,100,66,58,66,66,100,16,100,100,100,100,0,0,100,100,0,0,0,0,100,0,100,100,71,100,8,8,8,8,100,100,100,0,100,97,100,0,0,100,78,92,93,74,93,74,93,70,70,93,0,97,97,97,97,61,61,61,61,79,79,100,100,100,100,100,100,100,100,100,97,96,96,96
AL,Barbour,,01005,2024-06-04,"25,165",100,100,100,100,0,100,0,100,0,0,0,0,32,32,32,32,32,32,0,0,38,32,0,26,0,100,100,100,100,0,0,78,78,0,0,0,100,100,0,0,17,0,0,0,100,1,10,70,5,70,49,1,0,99,99,99,0,0,100,24,0,22,2,22,18,1,0,53,24,100,100,100,100,100,0,100,0,100,0,0,0,0,0,0,100,100,0,100,100,100,93,100,100,100,14,100,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,55,100,29,29,29,29,100,100,100,0,100,93,100,0,0,100,23,24,24,23,24,23,24,22,22,24,0,100,100,100,100,20,20,20,20,76,76,100,100,100,100,100,100,100,100,100,100,100,100,100
AL,Bibb,,01007,2024-07-02,"17,376",100,100,100,100,0,99,0,0,0,0,100,0,0,0,0,0,0,0,0,0,44,34,0,29,0,100,99,99,99,0,99,38,97,99,0,0,99,99,0,0,12,0,0,0,98,1,7,76,2,76,58,1,3,95,98,98,0,0,99,13,0,11,1,11,11,0,0,94,12,100,100,100,100,100,0,100,0,100,0,0,98,98,0,0,99,99,0,100,100,99,90,99,99,100,23,100,100,100,100,0,0,100,100,0,0,0,0,100,0,100,100,56,100,29,29,29,29,100,100,100,0,100,93,100,0,0,100,12,13,29,26,29,26,29,25,25,29,0,93,93,93,93,49,49,53,53,81,81,100,100,100,100,100,100,100,100,100,100,99,99,99
AL,Blount,,01009,2024-11-05,"43,863",100,100,100,100,0,0,0,100,100,0,0,57,0,0,0,0,0,0,0,0,60,45,0,20,0,100,100,100,100,0,0,34,34,100,100,0,100,100,0,0,0,0,0,0,100,0,0,75,1,75,65,3,1,100,100,100,0,0,100,54,0,43,0,52,45,2,0,96,93,100,100,100,100,100,0,100,0,100,100,0,0,0,9,27,100,0,26,100,100,100,96,100,100,100,12,100,100,100,100,0,0,100,100,0,0,0,0,100,0,100,100,66,100,19,19,19,19,100,100,100,0,100,99,100,1,0,100,45,53,53,45,53,45,53,44,44,53,0,100,100,99,99,41,41,41,41,78,78,100,100,100,100,100,100,100,100,100,100,99,99,99
AL,Bullock,,01011,2024-07-02,"10,665",100,100,98,98,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,34,27,0,0,0,100,98,98,98,0,0,78,77,98,0,0,98,98,0,0,7,0,0,0,98,1,11,61,3,61,39,3,1,98,98,98,0,0,98,26,0,23,0,23,13,3,0,50,24,100,100,100,100,100,0,100,0,100,0,0,94,98,0,0,98,98,0,100,100,100,88,100,100,100,39,100,100,100,100,0,0,100,100,0,0,0,0,98,0,100,100,52,100,38,38,38,38,100,100,100,0,100,93,100,0,0,100,25,26,26,24,26,24,26,24,24,26,0,94,94,94,94,20,20,20,20,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100
AL,Butler,,01013,2024-07-02,"21,610",100,100,100,100,0,0,0,0,0,0,100,0,21,21,21,21,21,21,0,0,28,35,0,2,0,100,100,100,100,0,28,15,98,100,0,0,100,100,0,0,0,0,0,0,99,3,19,71,7,71,60,1,0,99,99,99,0,0,100,55,0,36,6,36,35,0,0,91,54,100,100,100,100,100,0,100,0,100,0,0,98,98,0,0,0,0,0,100,100,100,94,100,100,100,4,100,100,100,100,0,0,100,100,0,0,0,0,100,0,100,100,51,100,35,35,35,35,100,100,100,0,100,88,100,0,0,100,38,55,48,38,48,38,48,36,36,48,0,100,100,100,100,32,32,32,32,77,77,100,100,100,100,100,100,100,100,100,100,100,100,100
AL,Calhoun,,01015,2025-04-01,"74,590",100,100,100,100,0,0,0,99,0,0,0,0,44,44,44,44,44,44,0,0,66,59,0,43,0,100,99,99,99,0,0,99,97,0,0,0,99,0,0,0,0,0,0,67,99,0,11,75,4,75,65,5,2,98,98,98,0,0,99,98,0,67,6,67,64,7,0,99,98,100,100,100,100,100,0,100,0,100,0,0,73,73,15,26,0,99,49,100,100,100,94,100,100,100,6,100,100,100,100,0,0,100,100,0,0,0,99,100,0,100,100,73,100,9,9,9,9,100,100,100,0,100,100,100,0,1,100,72,98,98,71,98,71,98,67,67,98,0,100,100,100,100,59,59,59,59,80,80,99,100,100,100,100,100,100,100,100,100,99,99,99
AL,Chambers,,01017,2024-07-02,"26,541",100,100,100,100,0,0,0,0,0,0,100,0,20,20,20,20,20,20,0,0,55,51,0,42,0,100,100,100,100,0,0,85,98,100,0,0,100,100,0,0,0,0,0,0,99,1,0,53,8,53,38,3,1,99,99,99,0,0,100,91,0,47,8,47,34,7,0,97,91,100,100,100,100,100,0,100,0,100,0,0,100,98,0,0,100,100,0,100,100,100,94,100,100,100,11,100,100,100,100,0,0,100,100,0,0,0,0,100,0,100,100,63,100,21,21,21,21,100,100,100,0,100,96,100,0,0,100,49,91,87,49,87,49,87,48,48,87,0,92,92,91,91,60,60,62,62,77,77,100,100,100,100,100,100,100,100,100,100,99,99,99
