state,parcel_count,county_count,ogc_fid_pct,geoid_pct,parcelnumb_pct,parcelnumb_no_formatting_pct,state_parcelnumb_pct,account_number_pct,tax_id_pct,alt_parcelnumb1_pct,alt_parcelnumb2_pct,alt_parcelnumb3_pct,usecode_pct,usedesc_pct,zoning_pct,zoning_description_pct,zoning_type_pct,zoning_subtype_pct,zoning_code_link_pct,zoning_id_pct,struct_pct,structno_pct,yearbuilt_pct,numstories_pct,numunits_pct,numrooms_pct,structstyle_pct,parvaltype_pct,improvval_pct,landval_pct,parval_pct,agval_pct,homestead_exemption_pct,saleprice_pct,saledate_pct,taxamt_pct,taxyear_pct,owntype_pct,owner_pct,unmodified_owner_pct,ownfrst_pct,ownlast_pct,owner2_pct,owner3_pct,owner4_pct,previous_owner_pct,mailadd_pct,mail_address2_pct,careof_pct,mail_addno_pct,mail_addpref_pct,mail_addstr_pct,mail_addsttyp_pct,mail_addstsuf_pct,mail_unit_pct,mail_city_pct,mail_state2_pct,mail_zip_pct,mail_country_pct,mail_urbanization_pct,original_mailing_address_pct,address_pct,address2_pct,saddno_pct,saddpref_pct,saddstr_pct,saddsttyp_pct,saddstsuf_pct,sunit_pct,scity_pct,original_address_pct,city_pct,county_pct,state2_pct,szip_pct,szip5_pct,urbanization_pct,ll_address_count_pct,location_name_pct,address_source_pct,legaldesc_pct,plat_pct,book_pct,page_pct,block_pct,lot_pct,neighborhood_pct,neighborhood_code_pct,subdivision_pct,lat_pct,lon_pct,fema_flood_zone_pct,fema_flood_zone_subtype_pct,fema_flood_zone_raw_pct,fema_flood_zone_data_date_pct,qoz_pct,qoz_tract_pct,census_tract_pct,census_block_pct,census_blockgroup_pct,census_zcta_pct,census_elementary_school_district_pct,census_secondary_school_district_pct,census_unified_school_district_pct,ll_last_refresh_pct,sourceurl_pct,recrdareatx_pct,recrdareano_pct,deeded_acres_pct,gisacre_pct,sqft_pct,ll_gisacre_pct,ll_gissqft_pct,ll_bldg_footprint_sqft_pct,ll_bldg_count_pct,cdl_raw_pct,cdl_majority_category_pct,cdl_majority_percent_pct,cdl_date_pct,plss_township_pct,plss_section_pct,plss_range_pct,reviseddate_pct,path_pct,ll_stable_id_pct,ll_uuid_pct,ll_stack_uuid_pct,ll_row_parcel_pct,ll_updated_at_pct,precisely_id_pct,placekey_pct,dpv_status_pct,dpv_codes_pct,dpv_notes_pct,dpv_type_pct,cass_errorno_pct,rdi_pct,usps_vacancy_pct,usps_vacancy_date_pct,padus_public_access_pct,lbcs_activity_pct,lbcs_activity_desc_pct,lbcs_function_pct,lbcs_function_desc_pct,lbcs_structure_pct,lbcs_structure_desc_pct,lbcs_site_pct,lbcs_site_desc_pct,lbcs_ownership_pct,lbcs_ownership_desc_pct,housing_affordability_index_pct,population_density_pct,population_growth_past_5_years_pct,population_growth_next_5_years_pct,housing_growth_past_5_years_pct,housing_growth_next_5_years_pct,household_income_growth_next_5_years_pct,median_household_income_pct,fema_nri_risk_rating_pct,transmission_line_distance_pct,roughness_rating_pct,highest_parcel_elevation_pct,lowest_parcel_elevation_pct
AK,"565,339",30,100,100,73,73,0,21,22,41,19,1,6,57,29,30,25,25,25,25,1,0,39,17,20,1,0,72,69,70,71,0,0,25,46,2,34,61,92,0,1,1,8,0,0,2,63,0,2,50,8,51,33,0,1,63,62,63,0,0,63,58,0,51,19,51,50,0,1,75,57,100,100,100,82,82,0,100,10,100,53,19,29,29,13,17,11,14,26,100,100,3,3,3,3,100,16,100,100,100,82,0,0,100,100,19,0,7,0,55,23,100,100,100,100,0,0,0,0,17,16,17,26,100,89,100,3,1,100,48,54,56,40,56,40,56,32,32,56,0,38,38,38,38,35,35,39,39,71,63,96,98,98,98,98,98,98,98,93,88,88,88,88
AL,"3,360,564",67,100,100,100,100,0,19,0,74,19,2,45,16,47,46,46,46,45,46,0,0,51,47,7,24,1,98,96,96,99,0,9,62,74,49,44,0,99,28,0,0,3,0,0,9,98,0,5,61,3,60,50,5,1,98,98,98,0,0,99,79,0,61,3,61,54,8,1,90,85,100,100,100,100,100,0,100,0,100,50,0,56,60,18,21,42,60,36,100,100,80,74,80,80,100,12,100,100,100,100,0,0,100,100,0,0,4,7,88,22,100,100,71,100,15,15,15,15,100,100,100,3,100,93,100,4,0,100,61,76,77,61,77,61,77,57,57,77,0,95,95,94,94,57,57,59,59,76,76,99,100,100,100,100,100,100,100,100,97,96,96,96
AR,"2,092,048",75,100,100,100,100,0,0,0,92,76,33,97,0,35,35,35,35,35,35,33,0,44,57,0,1,0,100,99,99,99,0,50,91,93,49,78,0,100,79,0,0,0,0,0,41,98,1,2,70,10,70,50,2,0,97,97,97,0,0,98,81,0,62,16,77,63,2,0,78,99,100,100,100,100,100,0,100,0,100,83,0,45,46,27,27,0,82,82,100,100,71,65,71,71,100,10,100,100,100,100,0,0,100,100,57,0,0,0,90,0,100,100,67,100,21,21,21,21,100,100,100,87,100,98,100,0,0,100,59,79,79,57,79,57,79,53,53,79,0,94,94,60,60,59,59,95,95,83,83,100,100,100,100,100,100,100,100,100,100,100,100,100
AZ,"3,495,745",15,100,100,100,100,0,25,0,61,5,0,89,84,100,100,100,100,100,100,2,2,75,75,1,11,0,91,62,73,90,0,0,63,64,43,73,13,99,5,0,0,4,0,0,0,99,0,1,58,46,58,49,1,7,98,98,98,50,0,98,86,0,78,72,78,73,0,5,93,94,100,100,100,100,100,0,100,0,100,63,4,58,7,2,60,0,7,57,100,100,25,21,25,25,100,12,100,100,100,100,31,27,69,100,67,0,46,0,88,72,100,100,76,100,4,4,4,4,100,100,100,27,100,99,100,2,0,100,83,84,85,78,85,78,85,75,75,85,0,82,82,82,82,74,74,75,75,85,85,99,100,100,100,100,100,100,100,100,98,96,96,96
CA,"12,809,983",58,100,100,100,100,0,0,3,44,23,8,89,57,99,99,99,99,99,99,1,1,81,60,38,47,6,89,97,98,95,0,56,65,86,9,39,19,98,17,0,0,15,1,0,0,97,1,7,76,10,76,64,0,4,97,97,96,3,0,98,92,0,86,13,87,82,2,6,96,96,100,100,100,99,99,0,100,0,100,68,0,21,20,5,23,0,11,20,100,100,81,74,81,81,100,8,100,100,100,99,28,28,72,100,5,0,48,0,56,23,100,100,86,100,5,5,5,5,90,90,90,3,100,99,100,10,0,100,87,89,91,84,91,84,91,82,82,91,0,90,90,88,88,85,85,89,89,87,87,98,100,100,100,100,100,100,100,100,99,97,97,97
CO,"2,944,873",64,100,100,99,99,6,44,0,43,9,0,43,80,93,93,93,93,93,93,2,21,70,60,48,39,27,86,66,66,84,0,0,85,84,15,26,1,98,11,1,1,14,0,0,12,94,0,3,61,16,61,52,1,1,94,94,94,4,0,95,86,0,79,28,80,75,2,8,91,91,100,100,100,100,100,0,100,1,100,75,9,3,1,29,27,25,14,42,100,100,63,60,63,63,100,11,100,100,100,100,0,0,100,100,15,0,26,0,57,35,100,100,79,100,10,10,10,10,98,98,98,10,100,91,100,11,1,100,81,83,85,77,85,77,85,72,72,85,0,92,92,91,91,72,72,76,76,81,81,99,100,100,100,100,100,100,100,100,97,94,94,94
CT,"1,306,961",9,100,100,100,98,37,56,0,86,37,15,73,84,96,91,91,91,91,91,1,46,57,53,12,51,52,90,78,77,87,0,0,86,87,0,6,0,97,0,0,0,16,0,0,35,90,0,1,66,2,66,62,0,0,89,88,89,0,0,90,99,0,90,3,90,88,1,2,100,99,100,100,100,100,100,0,100,0,100,0,0,78,78,26,36,2,46,0,100,100,25,24,25,25,100,5,100,100,100,100,8,5,92,100,53,0,48,0,83,0,100,100,90,100,4,4,4,4,0,0,0,6,100,93,100,7,0,100,84,88,93,90,93,90,93,86,86,93,0,85,85,85,85,85,85,85,85,77,77,99,100,100,100,100,100,100,100,100,92,92,92,92
DC,"207,339",1,100,100,100,100,0,0,0,89,0,0,99,99,100,100,100,100,100,100,4,0,86,61,5,77,0,99,99,99,99,0,47,99,83,99,0,0,99,0,0,0,36,0,0,0,96,0,6,53,2,53,52,44,0,95,95,95,0,0,96,100,0,95,1,95,95,100,35,100,100,100,100,100,100,100,0,100,0,100,0,0,0,0,0,100,99,99,0,100,100,100,99,100,100,100,11,100,100,100,100,0,0,100,100,0,0,0,0,0,91,100,100,96,100,1,1,1,1,0,0,0,0,100,95,100,35,1,100,95,95,100,95,100,95,100,94,94,100,0,94,94,94,94,94,94,94,94,84,84,97,100,100,100,100,100,100,100,100,95,85,85,85
DE,"485,306",3,100,100,100,100,0,19,0,100,0,0,0,58,98,98,98,98,98,98,0,0,75,72,0,61,0,59,57,54,58,0,0,78,78,0,0,0,100,0,0,0,26,0,0,0,99,2,2,69,7,69,66,0,1,100,100,100,0,0,100,92,0,87,11,88,88,0,0,94,58,100,100,100,100,100,0,100,0,100,42,0,34,34,16,46,0,0,40,100,100,83,74,83,83,100,7,100,100,100,100,0,0,100,100,17,0,0,17,43,1,100,100,85,100,9,9,9,9,0,0,0,0,100,99,100,9,0,100,87,91,92,85,92,85,92,81,81,92,0,83,83,83,83,83,83,83,83,52,52,99,100,100,100,100,100,100,100,100,98,98,98,98
FL,"11,136,428",67,100,100,100,100,54,4,0,66,53,6,92,56,100,100,100,100,100,100,1,62,78,44,68,4,4,99,96,96,99,19,55,79,79,14,62,0,99,0,4,4,17,1,0,12,99,1,5,61,12,61,57,3,2,99,98,98,7,0,99,97,0,83,24,86,84,8,10,99,98,100,100,100,100,100,0,100,1,100,92,0,33,33,23,28,3,73,23,100,100,18,14,18,18,100,8,100,100,100,100,0,0,100,100,12,0,73,2,56,62,100,100,80,100,5,5,5,5,91,91,91,8,100,99,100,13,0,100,87,93,96,84,96,84,96,81,81,96,0,90,90,83,83,80,80,90,90,79,79,99,100,100,100,100,100,100,100,100,96,95,95,95
